s/n,date,Temperature(oC),Rel. Humidity(%),Light(lux),CO2(ppm),HumidityRatio(kg/kg),Occupancy
2555,04-02-15 8:53,21.215,25.215,456.5,746.1666667,0.003926188,1
2556,04-02-15 8:54,21.2,25.2,465.25,762.75,0.003920204,1
2557,04-02-15 8:55,21.2,25.2,469,766.2,0.003920204,1
2558,04-02-15 8:55,21.2,25.218,469,763.4,0.003923022,1
2559,04-02-15 8:57,21.215,25.29166667,462.3333333,773.8333333,0.003938201,0
2560,04-02-15 8:57,21.2,25.29,464,777.75,0.003934293,0
2561,04-02-15 8:58,21.2,25.35666667,462.3333333,778,0.00394473,1
2562,04-02-15 9:00,21.2,25.37,470.2,778.4,0.003946818,1
2563,04-02-15 9:01,21.2225,25.34,475.75,774.75,0.003947603,1
2564,04-02-15 9:02,21.236,25.33,471,774,0.003949326,1
2565,04-02-15 9:03,21.29,25.4725,480.25,778,0.003984948,1
2566,04-02-15 9:04,21.29,25.42666667,487,779,0.003977732,1
2567,04-02-15 9:04,21.272,25.412,503.6,780.6,0.003971009,1
2568,04-02-15 9:06,21.29,25.575,509.5,786.25,0.004001087,1
2569,04-02-15 9:07,21.29,25.6725,527.25,800.75,0.004016439,1
2570,04-02-15 9:08,21.34,25.79,524.5,814,0.004047411,1
2571,04-02-15 9:08,21.412,25.872,529.8,832,0.004078439,1
2572,04-02-15 9:10,21.5,26,534,849.25,0.00412105,1
2573,04-02-15 9:10,21.5,26.08,544,860.6,0.004133814,1
2574,04-02-15 9:11,21.6,26.15,538,871,0.004170603,1
2575,04-02-15 9:13,21.66,26.216,553,879.5,0.004196678,1
2576,04-02-15 9:14,21.7,26.2675,542.5,894,0.004215345,1
2577,04-02-15 9:15,21.7225,26.2225,547,905.5,0.004213906,1
2578,04-02-15 9:16,21.79,26.39,559.2,911.2,0.004258657,1
2579,04-02-15 9:16,21.81,26.274,567.8,919.2,0.004245029,1
2580,04-02-15 9:17,21.865,26.315,554,923.5,0.004266102,1
2581,04-02-15 9:19,21.89,26.315,563,931.75,0.004272664,1
2582,04-02-15 9:20,21.89,26.315,564.5,934.75,0.004272664,1
2583,04-02-15 9:21,21.945,26.2225,577.5,934.75,0.004271957,1
2584,04-02-15 9:22,22,26.12,578.8,939,0.004269545,1
2585,04-02-15 9:23,22,26.06666667,581.6666667,936.6666667,0.004260767,1
2586,04-02-15 9:23,22.08571429,26.12857143,580,936.4285714,0.004293491,1
2587,04-02-15 9:24,22.1,26.1,596,936.5,0.004292526,1
2588,04-02-15 9:26,22.1,26.1,594.8,937.6,0.004292526,1
2589,04-02-15 9:27,22.14,25.998,603.4,937.8,0.004286142,1
2590,04-02-15 9:28,22.2,26,608.25,946,0.004302279,0
2591,04-02-15 9:29,22.29,25.96333333,606.6666667,950.3333333,0.004319939,0
2592,04-02-15 9:29,22.29,25.89,612,937.3333333,0.004307653,1
2593,04-02-15 9:30,22.29,25.85666667,611,943.6666667,0.004302068,1
2594,04-02-15 9:32,22.32333333,25.80666667,617,946.1666667,0.00430247,1
2595,04-02-15 9:33,22.39,25.7,624.75,944.5,0.004302096,1
2596,04-02-15 9:34,22.39,25.68,630.4,944.4,0.004298725,1
2597,04-02-15 9:35,22.445,25.65,632.5,948,0.00430815,1
2598,04-02-15 9:36,22.5,25.66666667,652,940.3333333,0.004325504,1
2599,04-02-15 9:36,22.5,25.6,643.5,944.3333333,0.004314191,1
2600,04-02-15 9:38,22.56666667,25.6,648.6666667,942.1666667,0.00433182,1
2601,04-02-15 9:39,22.6,25.6,767,948.6666667,0.004340659,1
2602,04-02-15 9:40,22.6,25.4725,1419.5,945,0.00431889,1
2603,04-02-15 9:40,22.7,25.5,1697.25,951.75,0.00435009,1
2604,04-02-15 9:42,22.7,25.456,1209.8,958.6,0.004342532,1
2605,04-02-15 9:42,22.7225,25.4175,685.75,956.25,0.004341882,1
2606,04-02-15 9:43,22.7675,25.315,684.75,952.25,0.004336152,1
2607,04-02-15 9:45,22.79,25.456,679.4,954.6,0.004366467,1
2608,04-02-15 9:46,22.82333333,25.39333333,683,961.6666667,0.004364515,1
2609,04-02-15 9:47,22.89,25.39,692,961.75,0.004381728,1
2610,04-02-15 9:48,22.89,25.39,693.8,953.8,0.004381728,1
2611,04-02-15 9:49,22.90833333,25.39,689,956.3333333,0.004386631,1
2612,04-02-15 9:49,22.9725,25.39,693.75,970,0.004403831,1
2613,04-02-15 9:51,23,25.39,686.5,971.25,0.004411221,1
2614,04-02-15 9:52,23.025,25.4175,698.25,986.25,0.004422767,1
2615,04-02-15 9:53,23.1,25.5,694.8333333,985,0.00445755,1
2616,04-02-15 9:53,23.1,25.5,690,997,0.00445755,1
2617,04-02-15 9:55,23.2,25.5,696.8,1003.8,0.004484778,1
2618,04-02-15 9:55,23.2,25.5,710,1004.833333,0.004484778,1
2619,04-02-15 9:56,23.2,25.5,722,1011.4,0.004484778,1
2620,04-02-15 9:58,23.29,25.6,732,1022.5,0.004527221,1
2621,04-02-15 9:59,23.29,25.6,735,1029.833333,0.004527221,1
2622,04-02-15 10:00,23.31,25.6,719.2,1031,0.004532732,1
2623,04-02-15 10:01,23.39,25.6,723.3333333,1040,0.004554837,1
2624,04-02-15 10:01,23.365,25.6,729,1040.5,0.004547919,1
2625,04-02-15 10:02,23.39,25.6,738,1042,0.004554837,1
2626,04-02-15 10:04,23.456,25.66,738,1052.4,0.004583942,1
2627,04-02-15 10:05,23.5,25.718,734.4,1062.8,0.004606679,1
2628,04-02-15 10:06,23.58,25.736,738,1067.75,0.004632378,1
2629,04-02-15 10:07,23.6,25.89,747,1072.25,0.004665967,1
2630,04-02-15 10:08,23.64,25.954,745.2,1095.2,0.004688959,1
2631,04-02-15 10:08,23.66666667,26.06666667,746.3333333,1109,0.004717095,1
2632,04-02-15 10:09,23.7,26.12,737.8,1119,0.004736389,1
2633,04-02-15 10:11,23.718,26.1,745,1123.4,0.004737906,1
2634,04-02-15 10:12,23.79,26.125,740.5,1122.5,0.004763231,1
2635,04-02-15 10:13,23.745,26.2,754,1123,0.004763993,1
2636,04-02-15 10:14,23.79,26.31,763,1158.2,0.004797221,1
2637,04-02-15 10:14,23.79,26.315,758.25,1160.25,0.00479814,1
2638,04-02-15 10:15,23.89,26.39,755.5,1166,0.004841175,1
2639,04-02-15 10:17,23.89,26.365,758.25,1164.75,0.004836553,1
2640,04-02-15 10:18,23.89,26.29,772.75,1163.25,0.004822688,1
2641,04-02-15 10:19,23.98428571,26.37571429,767,1172.714286,0.004866244,1
2642,04-02-15 10:20,24,26.365,774.5,1182,0.004868882,1
2643,04-02-15 10:21,24.05,26.34,774.5,1182,0.004878973,1
2644,04-02-15 10:21,24.08,26.37,769.8,1187.6,0.004893449,1
2645,04-02-15 10:23,24.1,26.56666667,758.3333333,1191.333333,0.004936203,1
2646,04-02-15 10:24,24.1,26.4725,775.75,1213.75,0.004918568,1
2647,04-02-15 10:25,24.1,26.154,775,1194,0.004858929,1
2648,04-02-15 10:25,24.1,25.958,783.4,1173.4,0.004822233,1
2649,04-02-15 10:27,24.1,25.918,789.6,1160.2,0.004814745,1
2650,04-02-15 10:27,24.1,25.8925,797.5,1156.25,0.004809971,1
2651,04-02-15 10:28,24.1,25.832,799,1139,0.004798646,1
2652,04-02-15 10:30,24.175,25.84,782.5,1140.5,0.004821963,1
2653,04-02-15 10:31,24.2,25.89166667,786.1666667,1145.333333,0.004838987,1
2654,04-02-15 10:32,24.2,25.89,794.25,1149.25,0.004838673,1
2655,04-02-15 10:33,24.2,25.89,797.5,1152.5,0.004838673,1
2656,04-02-15 10:34,24.2,25.89,787,1153.25,0.004838673,1
2657,04-02-15 10:34,24.218,25.912,805,1152.4,0.004848089,1
2658,04-02-15 10:36,24.26,25.89166667,798,1146.166667,0.004856565,1
2659,04-02-15 10:37,24.29,25.978,793,1145.4,0.004881725,1
2660,04-02-15 10:38,24.29,25.852,801.4,1140.8,0.004857863,1
2661,04-02-15 10:38,24.29,25.7,808,1150.25,0.004829079,1
2662,04-02-15 10:40,24.33,25.736,809.8,1129.2,0.004847592,1
2663,04-02-15 10:40,24.33,25.7,817,1125.8,0.004840759,1
2664,04-02-15 10:41,24.35666667,25.7,813,1123,0.004848559,1
2665,04-02-15 10:43,24.40833333,25.68166667,798,1124,0.004860208,1
2666,04-02-15 17:51,23.18,27.272,426,721.25,0.004792988,1
2667,04-02-15 17:51,23.15,27.2675,429.5,714,0.004783441,1
2668,04-02-15 17:53,23.15,27.245,426,713.5,0.004779464,1
2669,04-02-15 17:54,23.15,27.2,426,708.25,0.004771509,1
2670,04-02-15 17:55,23.1,27.2,426,704.5,0.004756993,1
2671,04-02-15 17:55,23.1,27.2,419,701,0.004756993,1
2672,04-02-15 17:57,23.1,27.2,419,701.6666667,0.004756993,1
2673,04-02-15 17:57,23.1,27.2,419,699,0.004756993,1
2674,04-02-15 17:58,23.1,27.2,419,689.3333333,0.004756993,1
2675,04-02-15 18:00,23.075,27.175,419,688,0.004745351,1
2676,04-02-15 18:01,23.075,27.15,419,690.25,0.004740952,1
2677,04-02-15 18:02,23.1,27.1,419,691,0.004739371,1
2678,04-02-15 18:03,23.1,27.16666667,419,683.5,0.004751119,1
2679,04-02-15 18:04,23.05,27.15,419,687.5,0.004733732,1
2680,04-02-15 18:04,23,27.125,419,686,0.004714942,1
2681,04-02-15 18:06,23,27.125,418.5,680.5,0.004714942,1
2682,04-02-15 18:07,23,27.2,0,681.5,0.004728078,0
2683,04-02-15 18:08,22.945,27.29,0,685,0.004727951,0
2684,04-02-15 18:08,22.945,27.39,0,685,0.004745408,0
2685,04-02-15 18:10,22.89,27.39,0,689,0.004729506,0
2686,04-02-15 18:10,22.89,27.39,0,689.5,0.004729506,0
2687,04-02-15 18:11,22.89,27.39,0,689,0.004729506,0
2688,04-02-15 18:13,22.89,27.445,0,691,0.004739076,0
2689,04-02-15 18:14,22.89,27.5,0,688,0.004748645,0
2690,04-02-15 18:15,22.89,27.5,0,689.5,0.004748645,0
2691,04-02-15 18:16,22.79,27.445,0,689,0.004710224,0
2692,04-02-15 18:16,22.79,27.5,0,685.6666667,0.004719735,0
2693,04-02-15 18:17,22.79,27.5,0,687,0.004719735,0
2694,04-02-15 18:19,22.79,27.5,0,688,0.004719735,0
2695,04-02-15 18:20,22.745,27.5,0,670,0.004706776,0
2696,04-02-15 18:21,22.7,27.46333333,0,668.6666667,0.004687543,0
2697,04-02-15 18:22,22.7,27.5,0,670,0.004693849,0
2698,04-02-15 18:23,22.7,27.5,0,667,0.004693849,0
2699,04-02-15 18:23,22.66666667,27.42666667,0,664.5,0.004671708,0
2700,04-02-15 18:24,22.7,27.6,0,670,0.004711047,0
2701,04-02-15 18:26,22.6,27.42666667,0,670.3333333,0.004652699,0
2702,04-02-15 18:27,22.6,27.39,0,672,0.004646433,0
2703,04-02-15 18:28,22.6,27.35666667,0,658,0.004640736,0
2704,04-02-15 18:29,22.6,27.445,0,660.5,0.004655833,0
2705,04-02-15 18:29,22.6,27.42666667,0,658,0.004652699,0
2706,04-02-15 18:30,22.6,27.445,0,655,0.004655833,0
2707,04-02-15 18:32,22.6,27.445,0,654.25,0.004655833,0
2708,04-02-15 18:33,22.6,27.39,0,648,0.004646433,0
2709,04-02-15 18:34,22.5,27.32333333,0,648.6666667,0.004606763,0
2710,04-02-15 18:35,22.5,27.445,0,646,0.004627429,0
2711,04-02-15 18:36,22.5,27.5,0,646,0.004636772,0
2712,04-02-15 18:36,22.5,27.445,0,641.5,0.004627429,0
2713,04-02-15 18:38,22.39,27.29,0,639,0.004570212,0
2714,04-02-15 18:39,22.5,27.5,0,640,0.004636772,0
2715,04-02-15 18:40,22.39,27.34,0,630.5,0.004578647,0
2716,04-02-15 18:40,22.39,27.35666667,0,629.3333333,0.004581459,0
2717,04-02-15 18:42,22.39,27.5,0,632,0.004605641,0
2718,04-02-15 18:42,22.39,27.5,0,636.5,0.004605641,0
2719,04-02-15 18:43,22.39,27.5,0,627.5,0.004605641,0
2720,04-02-15 18:45,22.39,27.39,0,626,0.004587082,0
2721,04-02-15 18:46,22.39,27.5,0,625.5,0.004605641,0
2722,04-02-15 18:47,22.34,27.39,0,623.5,0.00457305,0
2723,04-02-15 18:48,22.39,27.46333333,0,624.6666667,0.004599455,0
2724,04-02-15 18:49,22.39,27.39,0,622,0.004587082,0
2725,04-02-15 18:49,22.29,27.39,0,621,0.004559056,0
2726,04-02-15 18:51,22.34,27.39,0,626.5,0.00457305,0
2727,04-02-15 18:52,22.29,27.39,0,622,0.004559056,0
2728,04-02-15 18:53,22.39,27.39,0,620,0.004587082,0
2729,04-02-15 18:53,22.29,27.39,0,621.5,0.004559056,0
2730,04-02-15 18:55,22.29,27.35666667,0,616.3333333,0.004553467,0
2731,04-02-15 18:55,22.29,27.34,0,609,0.004550673,0
2732,04-02-15 18:56,22.29,27.39,0,614,0.004559056,0
2733,04-02-15 18:58,22.29,27.34,0,613.5,0.004550673,0
2734,04-02-15 18:59,22.29,27.34,0,611,0.004550673,0
2735,04-02-15 19:00,22.29,27.39,0,612,0.004559056,0
2736,04-02-15 19:01,22.29,27.29,0,608,0.00454229,0
2737,04-02-15 19:01,22.29,27.29,0,605.5,0.00454229,0
2738,04-02-15 19:02,22.2675,27.315,0,608.5,0.004540214,0
2739,04-02-15 19:04,22.2,27.29,0,608.5,0.004517288,0
2740,04-02-15 19:05,22.245,27.29,0,602.5,0.004529774,0
2741,04-02-15 19:06,22.2,27.29,0,598,0.004517288,0
2742,04-02-15 19:07,22.2,27.29,0,595,0.004517288,0
2743,04-02-15 19:08,22.2,27.29,0,591,0.004517288,0
2744,04-02-15 19:08,22.245,27.245,0,591,0.00452225,0
2745,04-02-15 19:09,22.2,27.2,0,595,0.004502283,0
2746,04-02-15 19:11,22.2,27.29,0,594.3333333,0.004517288,0
2747,04-02-15 19:12,22.2,27.29,0,593.5,0.004517288,0
2748,04-02-15 19:13,22.2,27.29,0,592,0.004517288,0
2749,04-02-15 19:14,22.15,27.245,0,586.5,0.004495971,0
2750,04-02-15 19:14,22.2,27.2,0,586,0.004502283,0
2751,04-02-15 19:15,22.15,27.245,0,586,0.004495971,0
2752,04-02-15 19:17,22.2,27.245,0,584.5,0.004509785,0
2753,04-02-15 19:18,22.1,27.245,0,584.5,0.004482195,0
2754,04-02-15 19:19,22.1,27.2,0,585.5,0.004474738,0
2755,04-02-15 19:20,22.13333333,27.2,0,584.6666667,0.004483903,0
2756,04-02-15 19:21,22.2,27.2,0,577,0.004502283,0
2757,04-02-15 19:21,22.1,27.2,0,580,0.004474738,0
2758,04-02-15 19:23,22.125,27.2,0,582,0.00448161,0
2759,04-02-15 19:24,22.2,27.2,0,580,0.004502283,0
2760,04-02-15 19:25,22.1,27.15,0,578,0.004466454,0
2761,04-02-15 19:25,22.1,27.2,0,576.5,0.004474738,0
2762,04-02-15 19:27,22.1,27.2,0,580,0.004474738,0
2763,04-02-15 19:27,22.1,27.2,0,572.5,0.004474738,0
2764,04-02-15 19:28,22.1,27.2,0,567,0.004474738,0
2765,04-02-15 19:30,22.1,27.2,0,568,0.004474738,0
2766,04-02-15 19:31,22.1,27.2,0,574.5,0.004474738,0
2767,04-02-15 19:32,22.1,27.2,0,564.3333333,0.004474738,0
2768,04-02-15 19:33,22.1,27.2,0,563,0.004474738,0
2769,04-02-15 19:34,22.1,27.15,0,564.5,0.004466454,0
2770,04-02-15 19:34,22.06666667,27.16666667,0,566.3333333,0.004460078,0
2771,04-02-15 19:36,22.1,27.1,0,562,0.004458169,0
2772,04-02-15 19:37,22,27.1,0,565.5,0.004430876,0
2773,04-02-15 19:38,22,27.1,0,570,0.004430876,0
2774,04-02-15 19:38,22.05,27.15,0,562,0.004452763,0
2775,04-02-15 19:40,22,27.1,0,560,0.004430876,0
2776,04-02-15 19:40,22,27.1,0,558,0.004430876,0
2777,04-02-15 19:41,22,27.1,0,556,0.004430876,0
2778,04-02-15 19:43,22,27.1,0,557,0.004430876,0
2779,04-02-15 19:44,21.9175,27.1,0,556.5,0.004408469,0
2780,04-02-15 19:45,21.945,27.1,0,557.5,0.004415927,0
2781,04-02-15 19:46,21.92666667,27.1,0,555,0.004410954,0
2782,04-02-15 19:46,21.89,27.1,0,555,0.004401023,0
2783,04-02-15 19:47,21.89,27.1,0,553,0.004401023,0
2784,04-02-15 19:49,21.89,27.1,0,549.5,0.004401023,0
2785,04-02-15 19:50,21.89,27.1,0,548.5,0.004401023,0
2786,04-02-15 19:51,21.89,27.1,0,551.5,0.004401023,0
2787,04-02-15 19:52,21.89,27.1,0,548.5,0.004401023,0
2788,04-02-15 19:53,21.89,27.1,0,548,0.004401023,0
2789,04-02-15 19:53,21.89,27.1,0,547.5,0.004401023,0
2790,04-02-15 19:54,21.89,27.1,0,553,0.004401023,0
2791,04-02-15 19:56,21.84,27.1,0,547.5,0.004387512,0
2792,04-02-15 19:57,21.85666667,27.1,0,548.6666667,0.004392012,0
2793,04-02-15 19:58,21.79,27.1,0,540,0.004374038,0
2794,04-02-15 19:59,21.79,27.1,0,538,0.004374038,0
2795,04-02-15 19:59,21.79,27.1,0,542,0.004374038,0
2796,04-02-15 20:00,21.79,27.1,0,542,0.004374038,0
2797,04-02-15 20:02,21.79,27.1,0,538,0.004374038,0
2798,04-02-15 20:03,21.79,27.1,0,537.6666667,0.004374038,0
2799,04-02-15 20:04,21.79,27.1,0,537.5,0.004374038,0
2800,04-02-15 20:05,21.79,27.1,0,536,0.004374038,0
2801,04-02-15 20:06,21.745,27.1,0,534.5,0.004361943,0
2802,04-02-15 20:06,21.7,27.1,0,532.5,0.004349877,0
2803,04-02-15 20:08,21.76,27.1,0,530,0.004365971,0
2804,04-02-15 20:09,21.745,27.05,0,529.5,0.004353839,0
2805,04-02-15 20:10,21.79,27.05,0,531,0.004365912,0
2806,04-02-15 20:10,21.73,27,0,533.3333333,0.004341725,0
2807,04-02-15 20:12,21.745,27,0,531,0.004345735,0
2808,04-02-15 20:12,21.745,27,0,529,0.004345735,0
2809,04-02-15 20:13,21.745,27,0,528.5,0.004345735,0
2810,04-02-15 20:15,21.7,27,0,525,0.004333714,0
2811,04-02-15 20:16,21.7,27,0,528.5,0.004333714,0
2812,04-02-15 20:17,21.7,27,0,530.5,0.004333714,0
2813,04-02-15 20:18,21.7,26.89,0,528,0.004315936,0
2814,04-02-15 20:19,21.7,26.89,0,526,0.004315936,0
2815,04-02-15 20:19,21.7,26.89,0,530,0.004315936,0
2816,04-02-15 20:21,21.7,26.89,0,533.3333333,0.004315936,0
2817,04-02-15 20:22,21.7,26.89,0,529,0.004315936,0
2818,04-02-15 20:23,21.7,26.89,0,528,0.004315936,0
2819,04-02-15 20:23,21.7,26.89,0,526,0.004315936,0
2820,04-02-15 20:25,21.7,26.89,0,526,0.004315936,0
2821,04-02-15 20:25,21.7,26.79,0,521,0.004299774,0
2822,04-02-15 20:26,21.7,26.79,0,518,0.004299774,0
2823,04-02-15 20:28,21.7,26.79,0,515.5,0.004299774,0
2824,04-02-15 20:29,21.7,26.79,0,520,0.004299774,0
2825,04-02-15 20:30,21.7,26.7675,0,523.5,0.004296138,0
2826,04-02-15 20:31,21.7,26.79,0,525.5,0.004299774,0
2827,04-02-15 20:31,21.7,26.79,0,525.5,0.004299774,0
2828,04-02-15 20:32,21.7,26.79,0,514,0.004299774,0
2829,04-02-15 20:34,21.7,26.7,0,518,0.00428523,0
2830,04-02-15 20:35,21.7,26.7,0,518,0.00428523,0
2831,04-02-15 20:36,21.7,26.7,0,520,0.00428523,0
2832,04-02-15 20:37,21.6,26.7,0,521,0.004258922,0
2833,04-02-15 20:38,21.6,26.6,0,518,0.004242862,0
2834,04-02-15 20:38,21.6,26.65,0,517,0.004250892,0
2835,04-02-15 20:39,21.6,26.6,0,511.5,0.004242862,0
2836,04-02-15 20:41,21.65,26.65,0,514,0.004264003,0
2837,04-02-15 20:42,21.6,26.55,0,515.5,0.004234832,0
2838,04-02-15 20:43,21.6,26.5,0,517,0.004226803,0
2839,04-02-15 20:44,21.6,26.5,0,515,0.004226803,0
2840,04-02-15 20:44,21.6,26.5,0,512,0.004226803,0
2841,04-02-15 20:45,21.6,26.5,0,515,0.004226803,0
2842,04-02-15 20:47,21.65,26.55,0,511,0.004247894,0
2843,04-02-15 20:48,21.6,26.5,0,514,0.004226803,0
2844,04-02-15 20:49,21.6,26.445,0,508,0.004217971,0
2845,04-02-15 20:50,21.6,26.4725,0,509.75,0.004222387,0
2846,04-02-15 20:51,21.6,26.445,0,508.75,0.004217971,0
2847,04-02-15 20:51,21.6,26.445,0,508.5,0.004217971,0
2848,04-02-15 20:53,21.6,26.39,0,507,0.004209139,0
2849,04-02-15 20:54,21.6,26.39,0,507,0.004209139,0
2850,04-02-15 20:55,21.6,26.39,0,503.5,0.004209139,0
2851,04-02-15 20:55,21.6,26.39,0,504,0.004209139,0
2852,04-02-15 20:57,21.6,26.39,0,504,0.004209139,0
2853,04-02-15 20:57,21.575,26.315,0,500.5,0.004190637,0
2854,04-02-15 20:58,21.6,26.29,0,500,0.004193082,0
2855,04-02-15 21:00,21.6,26.29,0,503.5,0.004193082,0
2856,04-02-15 21:01,21.55,26.245,0,503,0.004172982,0
2857,04-02-15 21:02,21.55,26.245,0,502.5,0.004172982,0
2858,04-02-15 21:03,21.5,26.2,0,502,0.004152962,0
2859,04-02-15 21:04,21.56666667,26.2,0,502,0.004170059,0
2860,04-02-15 21:04,21.5,26.2,0,502.5,0.004152962,0
2861,04-02-15 21:06,21.5,26.2,0,497,0.004152962,0
2862,04-02-15 21:07,21.5,26.15,0,501.5,0.004144984,0
2863,04-02-15 21:08,21.5,26.15,0,504,0.004144984,0
2864,04-02-15 21:08,21.5,26.1,0,501,0.004137006,0
2865,04-02-15 21:10,21.5,26.1,0,493.75,0.004137006,0
2866,04-02-15 21:10,21.5,26.1,0,500,0.004137006,0
2867,04-02-15 21:11,21.5,26.1,0,504.5,0.004137006,0
2868,04-02-15 21:13,21.5,26.05,0,504,0.004129028,0
2869,04-02-15 21:14,21.5,26.1,0,501,0.004137006,0
2870,04-02-15 21:15,21.5,26,0,499,0.00412105,0
2871,04-02-15 21:16,21.5,26,0,502,0.00412105,0
2872,04-02-15 21:16,21.5,26,0,503.5,0.00412105,0
2873,04-02-15 21:17,21.5,26,0,500.6666667,0.00412105,0
2874,04-02-15 21:19,21.5,26,0,493,0.00412105,0
2875,04-02-15 21:20,21.5,26,0,492.5,0.00412105,0
2876,04-02-15 21:21,21.5,26,0,493,0.00412105,0
2877,04-02-15 21:22,21.5,25.89,0,495.5,0.0041035,0
2878,04-02-15 21:23,21.5,26,0,492.6666667,0.00412105,0
2879,04-02-15 21:23,21.5,26,0,490,0.00412105,0
2880,04-02-15 21:24,21.5,25.92666667,0,493,0.00410935,0
2881,04-02-15 21:26,21.5,25.89,0,494.6666667,0.0041035,0
2882,04-02-15 21:27,21.5,25.89,0,496,0.0041035,0
2883,04-02-15 21:28,21.5,25.89,0,491,0.0041035,0
2884,04-02-15 21:29,21.5,25.84,0,490.5,0.004095523,0
2885,04-02-15 21:29,21.5,25.84,0,490,0.004095523,0
2886,04-02-15 21:30,21.5,25.89,0,491,0.0041035,0
2887,04-02-15 21:32,21.5,25.89,0,491.6666667,0.0041035,0
2888,04-02-15 21:33,21.5,25.89,0,493.5,0.0041035,0
2889,04-02-15 21:34,21.4725,25.865,0,493.75,0.004092568,0
2890,04-02-15 21:35,21.5,25.84,0,490,0.004095523,0
2891,04-02-15 21:36,21.5,25.79,0,488,0.004087546,0
2892,04-02-15 21:36,21.5,25.79,0,490,0.004087546,0
2893,04-02-15 21:38,21.5,25.79,0,487,0.004087546,0
2894,04-02-15 21:39,21.445,25.745,0,492.5,0.004066556,0
2895,04-02-15 21:40,21.445,25.745,0,493.5,0.004066556,0
2896,04-02-15 21:40,21.46333333,25.76,0,493.3333333,0.004073542,0
2897,04-02-15 21:42,21.445,25.745,0,488,0.004066556,0
2898,04-02-15 21:42,21.5,25.79,0,487.5,0.004087546,0
2899,04-02-15 21:43,21.42666667,25.73,0,485.3333333,0.004059579,0
2900,04-02-15 21:45,21.39,25.7,0,484,0.004045656,0
2901,04-02-15 21:46,21.39,25.7,0,489,0.004045656,0
2902,04-02-15 21:47,21.445,25.745,0,488,0.004066556,0
2903,04-02-15 21:48,21.5,25.79,0,493,0.004087546,0
2904,04-02-15 21:49,21.39,25.7,0,491,0.004045656,0
2905,04-02-15 21:49,21.445,25.745,0,488,0.004066556,0
2906,04-02-15 21:51,21.445,25.745,0,487.25,0.004066556,0
2907,04-02-15 21:52,21.39,25.7,0,489,0.004045656,0
2908,04-02-15 21:53,21.5,25.79,0,489,0.004087546,0
2909,04-02-15 21:53,21.39,25.7,0,486,0.004045656,0
2910,04-02-15 21:55,21.42666667,25.73,0,484.6666667,0.004059579,0
2911,04-02-15 21:55,21.39,25.7,0,485,0.004045656,0
2912,04-02-15 21:56,21.39,25.7,0,487,0.004045656,0
2913,04-02-15 21:58,21.39,25.7,0,492,0.004045656,0
2914,04-02-15 21:59,21.39,25.7,0,490.6666667,0.004045656,0
2915,04-02-15 22:00,21.39,25.7,0,488,0.004045656,0
2916,04-02-15 22:01,21.39,25.7,0,485.5,0.004045656,0
2917,04-02-15 22:01,21.39,25.7,0,486,0.004045656,0
2918,04-02-15 22:02,21.39,25.7,0,485.5,0.004045656,0
2919,04-02-15 22:04,21.39,25.7,0,486,0.004045656,0
2920,04-02-15 22:05,21.39,25.7,0,480,0.004045656,0
2921,04-02-15 22:06,21.39,25.7,0,481,0.004045656,0
2922,04-02-15 22:07,21.39,25.7,0,481.6666667,0.004045656,0
2923,04-02-15 22:08,21.39,25.7,0,485.5,0.004045656,0
2924,04-02-15 22:08,21.39,25.7,0,485,0.004045656,0
2925,04-02-15 22:09,21.39,25.7,0,473,0.004045656,0
2926,04-02-15 22:11,21.39,25.7,0,475,0.004045656,0
2927,04-02-15 22:12,21.39,25.7,0,486,0.004045656,0
2928,04-02-15 22:13,21.39,25.7,0,481.5,0.004045656,0
2929,04-02-15 22:14,21.39,25.7,0,483,0.004045656,0
2930,04-02-15 22:14,21.39,25.7,0,479,0.004045656,0
2931,04-02-15 22:15,21.39,25.7,0,479,0.004045656,0
2932,04-02-15 22:17,21.39,25.7,0,479,0.004045656,0
2933,04-02-15 22:18,21.34,25.7,0,479,0.004033195,0
2934,04-02-15 22:19,21.39,25.7,0,479,0.004045656,0
2935,04-02-15 22:20,21.39,25.7,0,477,0.004045656,0
2936,04-02-15 22:21,21.39,25.7,0,477.5,0.004045656,0
2937,04-02-15 22:21,21.29,25.7,0,477.5,0.004020769,0
2938,04-02-15 22:23,21.34,25.7,0,480,0.004033195,0
2939,04-02-15 22:24,21.29,25.7,0,480,0.004020769,0
2940,04-02-15 22:25,21.34,25.7,0,482,0.004033195,0
2941,04-02-15 22:25,21.32333333,25.7,0,480.3333333,0.004029049,0
2942,04-02-15 22:27,21.34,25.7,0,477.5,0.004033195,0
2943,04-02-15 22:27,21.29,25.7,0,476,0.004020769,0
2944,04-02-15 22:28,21.39,25.7,0,479,0.004045656,0
2945,04-02-15 22:30,21.39,25.7,0,471,0.004045656,0
2946,04-02-15 22:31,21.29,25.7,0,474,0.004020769,0
2947,04-02-15 22:32,21.29,25.7,0,477.5,0.004020769,0
2948,04-02-15 22:33,21.34,25.7,0,476,0.004033195,0
2949,04-02-15 22:34,21.29,25.7,0,474.25,0.004020769,0
2950,04-02-15 22:34,21.39,25.7,0,475,0.004045656,0
2951,04-02-15 22:36,21.29,25.7,0,476.5,0.004020769,0
2952,04-02-15 22:37,21.34,25.7,0,474.5,0.004033195,0
2953,04-02-15 22:38,21.29,25.7,0,478,0.004020769,0
